DISTRICT,LATITUDE,LONGITUDE
ARGANZUELA,40.4002113,-3.6961801
BARAJAS,40.4736595,-3.57777
CARABANCHEL,40.3752147,-3.7448761
CENTRO,40.4115165,-3.7076445
CHAMARTIN,40.462059,-3.6766
CHAMBERI,40.4340401,-3.7037899
CIUDAD LINEAL,40.4456678,-3.6543844
FUENCARRAL-EL PARDO,40.4984016,-3.7314
HORTALEZA,40.4744415,-3.6410999
LATINA,40.4002113,-3.7265186
MONCLOA-ARAVACA,40.4354706,-3.7316999
MORATALAZ,40.4074211,-3.6493499
PUENTE DE VALLECAS,40.3935394,-3.6619999
RETIRO,40.4131699,-3.6830699
SALAMANCA,40.4297218,-3.67975
SAN BLAS-CANILLEJAS,40.4321838,-3.6278804
TETUAN,40.4597511,-3.6975
USERA,40.3825927,-3.7098748
VICALVARO,40.4042,-3.57678
VILLA DE VALLECAS,40.3669555,-3.606064
VILLAVERDE,40.3499985,-3.7
