DISTRICT,LATITUDE,LONGITUDE,VENUE,VENUE LATITUDE,VENUE LONGITUDE,VENUE CATEGORY
ARGANZUELA,40.400211299999995,-3.6961801,La Pequeña Graná,40.39957392916725,-3.6985499739321477,Tapas Restaurant
ARGANZUELA,40.400211299999995,-3.6961801,Havana Blues,40.40205019041982,-3.698488323598797,Cuban Restaurant
ARGANZUELA,40.400211299999995,-3.6961801,El Quinto Pecado,40.40002813583826,-3.6944457202941674,Gastropub
ARGANZUELA,40.400211299999995,-3.6961801,Tres Cerditos,40.397316,-3.694184,Chinese Restaurant
ARGANZUELA,40.400211299999995,-3.6961801,Restaurante Buen Gusto,40.401765584257205,-3.6989609936941843,Chinese Restaurant
ARGANZUELA,40.400211299999995,-3.6961801,PanArte,40.39927880931651,-3.6941818094707313,Bakery
ARGANZUELA,40.400211299999995,-3.6961801,El Puchero de mi Abuela,40.40307361149854,-3.6959510580409547,Restaurant
ARGANZUELA,40.400211299999995,-3.6961801,Las tinajas,40.3969930879287,-3.6977791786193848,Tapas Restaurant
ARGANZUELA,40.400211299999995,-3.6961801,Casa Maxi,40.39827157610671,-3.6978147969573913,Restaurant
ARGANZUELA,40.400211299999995,-3.6961801,Restaurante Alconada,40.39972829894486,-3.700141270590028,Spanish Restaurant
ARGANZUELA,40.400211299999995,-3.6961801,Taberna Almeria II,40.40104077395461,-3.697189131248308,Tapas Restaurant
ARGANZUELA,40.400211299999995,-3.6961801,Universo Kebab,40.398919685052654,-3.698092146825315,Falafel Restaurant
ARGANZUELA,40.400211299999995,-3.6961801,Cafetería La Perla,40.397367166955874,-3.6967451549952464,Café
ARGANZUELA,40.400211299999995,-3.6961801,La Taberna del tio Inda,40.40322373751854,-3.6962844763743923,Spanish Restaurant
ARGANZUELA,40.400211299999995,-3.6961801,Granier,40.398027453759646,-3.6943201486393016,Bakery
ARGANZUELA,40.400211299999995,-3.6961801,Bar-Restaurante Hermanos Egea,40.400036474708855,-3.696070997073418,Spanish Restaurant
ARGANZUELA,40.400211299999995,-3.6961801,Mesón Las Regiones,40.39743429354975,-3.693263626174372,Mediterranean Restaurant
ARGANZUELA,40.400211299999995,-3.6961801,Monte Estoril,40.39851626110054,-3.6964101565258196,Spanish Restaurant
ARGANZUELA,40.400211299999995,-3.6961801,Happy's,40.402308460072874,-3.6980893725979755,Burger Joint
ARGANZUELA,40.400211299999995,-3.6961801,Telepizza,40.397558167633186,-3.6963552757924654,Pizza Place
